iter	Passed	Remaining
0	146	146701
1	148	73931
2	149	49595
3	150	37406
4	151	30101
5	152	25231
6	153	21838
7	155	19256
8	156	17285
9	158	15710
10	159	14372
11	160	13242
12	161	12288
13	162	11474
14	164	10771
15	165	10180
16	166	9633
17	167	9148
18	168	8715
19	170	8345
20	172	8034
21	173	7708
22	174	7410
23	175	7133
24	176	6879
25	177	6646
26	178	6427
27	179	6224
28	180	6036
29	181	5863
30	182	5704
31	183	5553
32	185	5448
33	187	5328
34	188	5210
35	190	5093
36	191	4980
37	192	4874
38	193	4776
39	195	4687
40	196	4595
41	197	4505
42	199	4435
43	200	4365
44	202	4297
45	203	4230
46	205	4165
47	206	4100
48	208	4041
49	209	3984
50	211	3929
51	212	3873
52	214	3839
53	216	3790
54	217	3740
55	218	3690
56	220	3640
57	221	3592
58	222	3546
59	223	3501
60	224	3458
61	225	3416
62	227	3376
63	228	3347
64	230	3312
65	231	3277
66	232	3242
67	234	3207
68	235	3173
69	236	3140
70	237	3109
71	238	3079
72	240	3053
73	242	3032
74	243	3008
75	245	2981
76	246	2954
77	248	2931
78	249	2908
79	250	2884
80	252	2862
81	253	2838
82	254	2809
83	255	2789
84	257	2772
85	259	2752
86	260	2734
87	261	2713
88	263	2692
89	264	2672
90	265	2652
91	266	2633
92	268	2614
93	269	2595
94	270	2581
95	272	2565
96	273	2548
97	275	2531
98	276	2514
99	277	2498
100	278	2480
101	279	2463
102	281	2447
103	282	2432
104	283	2417
105	285	2409
106	287	2396
107	288	2382
108	289	2366
109	290	2352
110	292	2338
111	293	2324
112	294	2311
113	295	2297
114	296	2283
115	297	2270
116	298	2256
117	301	2249
118	302	2238
119	303	2225
120	304	2213
121	305	2200
122	306	2188
123	308	2177
124	309	2166
125	310	2154
126	311	2142
127	313	2137
128	315	2128
129	316	2118
130	318	2109
131	319	2099
132	320	2089
133	321	2080
134	323	2071
135	324	2062
136	325	2052
137	328	2050
138	329	2042
139	331	2035
140	332	2026
141	333	2015
142	334	2005
143	336	1998
144	337	1989
145	338	1981
146	339	1972
147	341	1963
148	342	1957
149	344	1950
150	345	1941
151	346	1933
152	347	1925
153	349	1918
154	350	1911
155	352	1907
156	354	1901
157	355	1893
158	358	1893
159	359	1889
160	361	1881
161	362	1875
162	363	1868
163	365	1863
164	367	1858
165	369	1855
166	371	1851
167	372	1845
168	374	1842
169	376	1836
170	378	1836
171	381	1834
172	384	1835
173	387	1837
174	389	1835
175	390	1829
176	396	1843
177	398	1839
178	399	1832
179	402	1835
180	404	1830
181	406	1825
182	407	1818
183	408	1813
184	410	1806
185	411	1801
186	412	1795
187	414	1790
188	416	1787
189	417	1780
190	419	1775
191	420	1770
192	421	1764
193	423	1757
194	424	1751
195	425	1745
196	426	1738
197	427	1733
198	430	1733
199	432	1730
200	434	1725
201	435	1720
202	436	1715
203	438	1710
204	439	1704
205	441	1700
206	443	1698
207	445	1696
208	447	1692
209	448	1688
210	450	1683
211	451	1679
212	453	1674
213	454	1667
214	455	1662
215	456	1656
216	457	1651
217	459	1647
218	462	1649
219	464	1647
220	466	1644
221	467	1639
222	468	1633
223	470	1628
224	471	1625
225	473	1622
226	475	1619
227	477	1616
228	479	1613
229	480	1608
230	481	1603
231	483	1598
232	484	1594
233	486	1592
234	490	1597
235	492	1595
236	494	1592
237	496	1589
238	498	1587
239	501	1589
240	503	1586
241	505	1583
242	507	1580
243	509	1577
244	510	1572
245	511	1567
246	512	1563
247	514	1560
248	516	1557
249	518	1555
250	520	1551
251	521	1547
252	523	1545
253	524	1541
254	526	1537
255	527	1533
256	531	1535
257	533	1533
258	534	1529
259	536	1525
260	537	1523
261	539	1519
262	541	1516
263	542	1513
264	545	1512
265	546	1508
266	548	1505
267	549	1501
268	551	1498
269	552	1494
270	553	1490
271	555	1485
272	556	1482
273	558	1479
274	560	1476
275	561	1472
276	562	1468
277	564	1465
278	565	1461
279	566	1457
280	568	1453
281	569	1449
282	570	1445
283	573	1444
284	575	1442
285	576	1439
286	578	1437
287	579	1433
288	581	1429
289	582	1425
290	583	1422
291	585	1418
292	587	1416
293	588	1414
294	590	1410
295	591	1407
296	592	1403
297	594	1399
298	595	1395
299	596	1391
300	597	1387
301	598	1383
302	600	1382
303	602	1379
304	603	1375
305	605	1372
306	606	1369
307	608	1366
308	609	1363
309	610	1359
310	612	1356
311	613	1352
312	616	1352
313	618	1351
314	619	1347
315	621	1344
316	622	1341
317	623	1337
318	624	1333
319	625	1330
320	627	1326
321	628	1322
322	630	1320
323	631	1317
324	632	1314
325	634	1310
326	635	1307
327	636	1303
328	637	1300
329	638	1296
330	639	1292
331	640	1289
332	643	1288
333	644	1285
334	646	1282
335	647	1279
336	648	1275
337	649	1271
338	650	1267
339	651	1264
340	652	1260
341	653	1257
342	654	1253
343	655	1249
344	656	1246
345	658	1245
346	660	1242
347	661	1238
348	662	1235
349	663	1232
350	664	1228
351	665	1225
352	667	1222
353	668	1219
354	669	1216
355	670	1212
356	672	1211
357	674	1208
358	675	1205
359	676	1202
